fo4.1,2985,3306,3024,3319,3016,3354,2875,3342
fo5,2862,3020,3027,3061,3016,3095,2852,3052
fcs,1818,2201,2126,2201,2126,2284,1919,2285
fa1,2820,3597,3009,3647,3000,3687,2811,2630
fa2,2842,3496,2975,3528,2965,3572,2836,3538
fa2.1,2981,3501,3144,3553,3129,3621,2967,3572
fa3,2885,3344,3078,3393,3052,3492,2866,3448
fa4,2793,3199,2956,3245,2943,3307,2775,3265
fa4.1,2811,3274,2867,3288,2840,3393,2787,3380
fnd,3340,2320,3555,2320,3558,2391,3342,2396
fnd.1,3491,2396,3553,2394,3554,2475,3489,2471
hsci,2776,2735,3036,2806,3007,2923,2754,2888
hhs1,2769,2001,2880,2001,2880,2042,2869,2042
hhs2,2915,1999,3028,1999,3030,1955,2915,1955
hsc,1387,1612,1412,1629,1387,1663,1363,1647
hc,2521,1621,2596,1629,2604,1831,2520,1837
hrl,1427,1633,1468,1656,1443,1694,1401,1670
hsd,3580,1860,3747,1860,3752,1983,3581,1985
ih,673,2169,733,2169,733,2251,673,2249
ih.1,729,2234,849,2234,849,2295,729,2295
jg,937,1014,1162,1133,1083,1270,865,1143
kcam,2300,1661,2381,1661,2381,1738,2300,1738
kcam.1,2382,1613,2452,1613,2452,1785,2382,1785
